                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1664,                 1.7485,                 1.3417,                0.66147,                 0.4662,                0.53909,                0.32229,                 1.3187,                 1.6744,                 1.5516,             0.00017485,             0.00017485,             0.00017485
                      2,                 1.2848,                 1.5919,                 1.4533,                0.60283,                0.48444,                0.49999,                0.29605,                 1.3926,                 1.6993,                 1.5838,             0.00033285,             0.00033285,             0.00033285
                      3,                 1.2967,                 1.5773,                 1.4603,                0.64247,                0.48162,                0.53506,                0.32183,                 1.3481,                 1.6635,                 1.5407,             0.00047349,             0.00047349,             0.00047349
                      4,                 1.2585,                 1.4639,                 1.4359,                0.60715,                0.54001,                0.57796,                0.36738,                 1.2801,                 1.3867,                 1.4666,             0.00044789,             0.00044789,             0.00044789
                      5,                 1.2257,                 1.3648,                 1.4062,                0.62957,                 0.6045,                0.62118,                0.39989,                 1.2089,                 1.2526,                 1.4218,             0.00044789,             0.00044789,             0.00044789
                      6,                 1.1878,                 1.2662,                   1.38,                0.69899,                0.63435,                 0.6809,                0.44047,                 1.1711,                 1.1221,                 1.3847,             0.00042185,             0.00042185,             0.00042185
                      7,                 1.1406,                  1.164,                 1.3467,                0.73712,                0.64912,                0.70307,                0.46485,                 1.1469,                  1.034,                 1.3563,             0.00039581,             0.00039581,             0.00039581
                      8,                 1.1029,                 1.0837,                 1.3148,                0.76044,                0.66569,                0.73234,                0.49533,                 1.1178,                0.97044,                 1.3371,             0.00036978,             0.00036978,             0.00036978
                      9,                 1.0909,                 1.0453,                 1.3096,                0.73621,                0.69654,                0.73652,                0.49562,                 1.0946,                0.94506,                 1.3156,             0.00034374,             0.00034374,             0.00034374
                     10,                 1.0598,                0.96906,                 1.2829,                0.77329,                0.72135,                0.76857,                0.51388,                 1.0795,                0.88047,                 1.3091,              0.0003177,              0.0003177,              0.0003177
                     11,                 1.0379,                0.86884,                 1.2746,                0.79145,                 0.6828,                0.76553,                0.52056,                 1.0743,                0.86778,                 1.3113,             0.00029167,             0.00029167,             0.00029167
                     12,                 1.0184,                0.83027,                 1.2613,                0.79126,                0.72954,                0.78585,                0.54266,                 1.0599,                0.82484,                 1.2847,             0.00026563,             0.00026563,             0.00026563
                     13,                0.99159,                0.77874,                 1.2383,                0.79916,                0.74116,                0.80274,                0.54967,                  1.033,                  0.796,                 1.2715,             0.00023959,             0.00023959,             0.00023959
                     14,                 0.9627,                  0.737,                 1.2173,                0.78359,                0.74848,                0.79614,                0.55521,                 1.0296,                 0.7659,                 1.2616,             0.00021356,             0.00021356,             0.00021356
                     15,                0.94438,                0.69957,                 1.2018,                0.78217,                0.76363,                0.80258,                0.55936,                 1.0198,                0.76649,                 1.2587,             0.00018752,             0.00018752,             0.00018752
                     16,                0.92415,                0.66343,                 1.1846,                0.79216,                0.75698,                0.80607,                0.57005,                 1.0102,                0.73954,                 1.2608,             0.00016148,             0.00016148,             0.00016148
                     17,                0.89698,                0.63568,                 1.1715,                0.82379,                0.75333,                0.81528,                0.56982,                 1.0087,                0.71539,                 1.2554,             0.00013544,             0.00013544,             0.00013544
                     18,                0.87639,                0.60027,                 1.1552,                0.82454,                0.75419,                0.81992,                0.58196,                 1.0009,                0.69871,                 1.2416,             0.00010941,             0.00010941,             0.00010941
                     19,                0.85853,                0.57193,                 1.1475,                0.81949,                0.77963,                0.83037,                0.59113,                0.99268,                0.67578,                 1.2427,             8.3371e-05,             8.3371e-05,             8.3371e-05
                     20,                0.82387,                0.53815,                 1.1232,                0.81617,                0.77687,                0.83232,                0.59635,                0.98486,                0.66328,                  1.237,             5.7334e-05,             5.7334e-05,             5.7334e-05
